Nome,Data de Nascimento,CPF,RG SSP,CNS,Título do Eleitor,CNH,Categoria CNH,Nº Passaporte,Renavam,PIS/PASEP,Tipo Sanguíneo,Nome Mãe,Nome Pai,Número do Cartão,Data de Validade,CVV,Cep,Endereço,Bairro,Cidade,Estado,E-mail,Senha,Celular/WhatsApp,Telefone
Jayne Lacerda Brum,11/03/2009,618.219.304-28,43.337.386-6,871 7718 7520 0006,0574 3515 0841,64261197540,B,ML565795,34477646845,845.04234.05-7,B-,Rosali Tavares Louzano,Eduardo Valladares Calixto,6551 1834 2612 3638,27/02/2032,029,72546-237,Quadra CL 316 Bloco G,Santa Maria,Brasília,DF,aledio.calixto@geradornv.com.br,CA2BEYgYI1&t,(61) 99568-1763,(61) 3884-9111
Aledio Louzano Calixto,14/02/1934,152.382.151-50,24.331.984-8,264 3646 8349 0001,0223 1237 2046,38013222750,E,SL839436,98691836745,465.14655.57-5,B-,Ariana Camara Damasceno,Michell Farinha Ervano,5157 4284 9826 6249,27/10/2028,223,69902-705,Rua Maria de Oliveira,Chico Mendes,Rio Branco,AC,benedito.ervano@geradornv.com.br,KwwBioGFThp,(68) 99140-8048,(68) 2351-2762
Benedito Damasceno Ervano,22/01/1987,923.898.332-17,49.442.654-8,204 3157 3296 0018,3575 6325 2453,86430330665,D,JL485332,62956738125,364.30127.06-6,A+,Ariana Camara Damasceno,Fernando Lucas Alfradique Saraiva,6363 6820 7356 8548,16/11/2027,054,65910-347,Avenida Dorgival Pinheiro de Sousa,Vila Redenção,Imperatriz,MA,zenaide.saraiva@geradornv.com.br,K!0SDVSEO=IE,(99) 99228-6718,(99) 2861-2913
Zenaide Werneck Saraiva,13/10/1953,061.885.313-81,32.576.351-3,196 1242 7110 0005,5692 9349 1198,17847800701,C,UY361324,34756456368,518.82293.28-6,O+,Tereza Pontes de Lima,Douglas Albergaria Rios,5537 4246 2271 4973,02/07/2031,024,65901-080,Rua Aquiles Lisboa,São José do Egito,Imperatriz,MA,alisson.rios@geradornv.com.br,@wR=9rwgsaz*,(98) 98735-7469,(98) 3228-6581
Alisson de Lima Rios,24/05/1998,885.324.763-09,13.535.127-3,776 8183 0451 0003,5233 1815 1147,69343736815,D,GB290461,72231323031,458.36548.34-5,B+,Paula Barbosa Estevam,Paulo Henrique Wulff Vilela,4514 1638 6521 4594,17/11/2032,632,73350-204,Quadra Quadra 2 Conjunto D,Setor Residencial Leste (Planaltina),Brasília,DF,wellington.vilela@geradornv.com.br,8dft=s(iV8YW,(61) 99845-9359,(61) 3819-1412
Wellington Estevam Vilela,10/08/1984,993.247.391-07,39.755.708-5,829 7520 3356 0018,6682 8155 2038,25311911650,A,HO760242,85430685164,747.33408.58-7,B+,Rosangela Barher Saldanha,Vanderlei Claudino Thomaz,5532 8668 5210 3373,20/06/2030,304,54780-110,Rua Queimadas,São João e São Paulo,Camaragibe,PE,jhonas.thomaz@geradornv.com.br,PS*bh*&mexJJ,(81) 98421-2228,(81) 2012-2528
Jhonas Saldanha Thomaz,12/07/1945,852.358.404-88,17.346.820-2,104 3078 3570 0006,2046 2256 0850,19651350201,C,YQ460618,93682735477,491.67655.01-1,B-,Rita Coimbra Medel,Telmo Laporte Veiga,5233 0975 2738 4139,06/09/2027,478,49004-279,Travessa do Hilário,Zona de Expansão (Robalo),Aracaju,SE,andressa.veiga@geradornv.com.br,Lv7I#cwIMUxn,(79) 96714-1933,(79) 2857-0967
Andressa Medel Veiga,29/06/1976,678.468.575-09,33.552.941-0,148 1560 9948 0005,8587 2130 2194,65298826324,ACC,AU031627,16216222369,023.85639.98-4,A-,Danielle Nigro Cavalcante,Edmilson Quindeler Ximenes,4514 1680 5923 3573,14/05/2032,784,89809-813,Rua Dom José Gomes,Efapi,Chapecó,SC,evelyn.ximenes@geradornv.com.br,huSLe0_Oo!@8,(48) 99744-8372,(49) 2467-4463
Evelyn Cavalcante Ximenes,07/12/1966,456.376.279-24,47.237.383-3,235 2966 9186 0008,3096 8547 0981,99775627716,B,PX139402,18924331189,415.16821.14-5,A-,Roselaine Valansuela Bocafoli,Ivan Serravalle Damasceno,4514 1626 3706 8734,22/08/2027,084,78553-631,Rua Darci Dacroce,Jardim dos Ipês,Sinop,MT,dilmar.damasceno@geradornv.com.br,$ryU0JkeRB@@,(65) 96758-3796,(66) 3545-5579
Dilmar Bocafoli Damasceno,18/04/1980,612.764.231-01,27.433.483-5,175 9856 3495 0007,7148 8711 1805,21419688376,E,UK355617,18311832191,406.39323.74-9,AB+,Thalia Peixoto Texeira,Raimundo Rego Vitorino,6011 0051 6086 1293,01/12/2025,162,65633-020,Avenida Presidente Médici,Parque Alvorada,Timon,MA,veronica.vitorino@geradornv.com.br,pAa9Y9om_#fO,(99) 99113-2211,(98) 2370-6887
Verônica Texeira Vitorino,05/10/1958,275.182.863-94,11.416.787-4,267 3049 3239 0018,9025 5719 1104,28145733605,C,DA824632,98882313950,714.43162.57-2,A+,Maria Terra Carvalheiro,Armando Felix Knupp,4514 1610 8252 3342,31/01/2029,098,59298-607,Rua Wellington Oliveira do Nascimento,Regomoleiro,São Gonçalo do Amarante,RN,thalia.knupp@geradornv.com.br,9B+F*k)%etKs,(84) 98652-6102,(84) 2230-1117
Thalia Carvalheiro Knupp,09/02/2022,633.668.924-71,32.275.558-X,124 0368 6775 0005,8968 7314 1651,42464825206,A,QH573612,07152136883,746.22019.52-3,B+,Nathalia Vasgestian Pessoa,Iseu Luques Pereira,4389 3558 6815 5525,14/08/2024,051,30575-819,Rua Moisés Kalil,Buritis,Belo Horizonte,MG,italo.pereira@geradornv.com.br,GurIwRbNkfs$,(33) 99513-8608,(31) 3583-3033
Italo Pessoa Pereira,23/02/1936,443.279.626-00,18.194.725-0,108 3990 1569 0005,0794 8986 0299,86349085138,A,WR103316,77460768261,325.82215.60-7,AB+,Nathalia Vasgestian Pessoa,Heitor Pessoa Pontes,5563 4971 5454 9956,22/12/2031,962,76811-526,Rua Cupuaçuzeiro,Castanheira,Porto Velho,RO,aderbal.pontes@geradornv.com.br,Y_TtE470O_S7,(69) 97670-2152,(69) 2447-8447
Aderbal Espindola Pontes,09/06/2006,134.445.852-17,21.785.400-X,240 4721 8132 0002,5024 5773 2321,49465585866,ACC,WG479306,30836887869,438.84460.44-8,AB+,Elita Torres Barrada,Orlando Leandro Figueiras,3506 6371 7486 1890,11/05/2029,330,66063-470,Passagem Tenente-Coronel Viana,Guamá,Belém,PA,fransiscano.figueiras@geradornv.com.br,PcFUohdnXrJ,(93) 98314-6454,(93) 3745-9546
Fransiscano Barrada Figueiras,09/12/1996,436.212.512-43,43.716.497-4,286 4367 1955 0000,5856 7373 1309,47236348070,A,LX486989,66389405860,346.23485.70-7,AB+,Jocilea Silveira Bochimpani,Yuri Carminatti Nespoli,5166 7384 8137 2351,27/06/2026,087,50920-820,Rua Candiba,Tejipió,Recife,PE,elizabeth.nespoli@geradornv.com.br,#%&!SGzR+O6e,(87) 98724-7203,(87) 3768-7934
Elizabeth Bochimpani Nespoli,09/06/1968,562.397.784-78,25.502.387-X,228 1434 1976 0002,5927 4778 0868,82574261370,E,SO211536,15491242865,385.94115.03-2,O-,Roselaine Mozer Yunes,Cauê Mello Koga,5336 6888 7376 1304,04/06/2029,045,69053-130,Rua Acre,Nossa Senhora das Graças,Manaus,AM,julieta.koga@geradornv.com.br,yWP$3yW@exE%,(92) 99138-2435,(92) 3360-5597
Julieta Yunes Koga,12/12/1977,471.625.222-11,41.758.578-0,133 8238 0946 0007,6934 2017 2208,02447968636,E,012936,21655445288,867.77207.49-1,A+,Isadora Norte Nepomuceno,Stevenson Salles Filho,6573 2621 4375 5718,23/04/2030,838,68903-363,Rua Pedro Siqueira,Jardim Marco Zero,Macapá,AP,mariano.filho@geradornv.com.br,mJTC(zVSq2a3,(96) 97347-2792,(96) 3645-5721
Mariano Nepomuceno Filho,17/12/1997,515.368.412-18,26.394.328-8,962 5275 2535 0003,6385 4934 2550,32614471510,E,ZZ172231,76808289810,264.13612.17-5,B+,Emanuela Falcão Vitorino,Geraldo Boelho Annunziato,5523 5278 7480 0930,03/03/2033,816,78115-362,Rua do Lambari,Ponte Nova,Várzea Grande,MT,wanda.annunziato@geradornv.com.br,p5bFUlW4OCL,(66) 97111-4811,(65) 3848-2279
Wanda Vitorino Annunziato,27/11/1983,624.325.501-88,35.588.169-X,261 9743 6509 0018,6543 8766 1848,58672521440,ACC,LS852843,62419199420,551.56818.07-5,O-,Lorena Soares Caruso,Luiz Soares Goulart,3534 2172 9680 1243,14/05/2031,674,40750-314,Rua Santo Antônio do Alto de Coutos,Coutos,Salvador,BA,anne.goulart@geradornv.com.br,pj5Y041sbOGW,(74) 99528-9910,(74) 2644-9917
Anne Caruso Goulart,29/12/1945,667.318.915-09,41.565.567-5,731 4931 0104 0001,1416 3310 0574,88218148636,C,QR982521,77089696644,925.76338.16-0,A-,Kamila Teodoro Lucas,João Henrique Alvarenga Azevedo,4514 1651 6367 8594,15/11/2027,138,49500-534,Praça João Marcelo de Oliveira,São Cristóvão,Itabaiana,SE,antonietta.azevedo@geradornv.com.br,F8E_n3*)3H3B,(79) 97460-2627,(79) 2564-4352
Antonietta Lucas Azevedo,12/08/1933,494.345.305-80,48.721.345-2,105 9802 3153 0004,6607 4013 2135,08733763666,ACC,NF675503,65405859150,324.42095.55-2,O-,Katyene Mendonça Avilla,Gian Annunziato Cunha,6363 6822 5720 6378,29/03/2031,039,69022-042,Rua Rio Inauini,Tarumã,Manaus,AM,jennifer.cunha@geradornv.com.br,iP5nCHsfmTYb,(92) 96973-5532,(92) 3888-7645
Jennifer Avilla Cunha,29/09/1937,817.712.842-69,26.026.255-9,290 3003 9524 0005,4442 6561 2291,56856855684,E,SG212646,82413444710,661.56739.07-3,B-,Sandra Cunha Fonseca,Elielson Oliveira Martins,3582 4346 0546 2127,22/04/2033,174,08120-210,Rua Jorge Braga,Jardim Camargo Novo,São Paulo,SP,raiane.martins@geradornv.com.br,E(l#Nf_RQZt,(16) 98396-5662,(11) 2418-9377
Raiane Fonseca Martins,01/03/2007,477.222.648-67,31.254.441-8,299 9064 3383 0009,6764 5501 0183,26747192665,ACC,RA827237,75174166119,661.56739.07-3,O-,Milena Henriquez Bochimpani,Kelvin Macedo Barthon,6363 6864 3375 5224,01/01/2027,810,96405-410,Rua Setecentos e Setenta e Três,Tarumã,Bagé,RS,celso.barthon@geradornv.com.br,*2V88EN)Bmt7,(55) 98321-1752,(55) 2819-4618
Celso Bochimpani Barthon,20/11/1953,668.286.850-24,44.482.352-9,102 3525 6621 0004,1646 3989 0469,57235724027,B,VC817825,26477747950,060.15765.51-1,O-,Milena Henriquez Bochimpani,Jucemar Pontes Feitosa,6508 5548 9651 2449,21/12/2025,044,45079-466,Rua M,Zabelê,Vitória da Conquista,BA,regina.feitosa@geradornv.com.br,a#omv)NZ9WpI,(74) 98731-5379,(77) 2531-7574
Regina Magalhães Feitosa,29/06/1999,743.560.755-01,18.536.788-4,882 4221 2666 0003,0625 5791 0523,19143477350,E,AK362038,22837522413,442.67123.53-3,O+,Gabriela Peixoto Ignacia,Celso Fundão Barrada,5275 7726 2116 8856,23/06/2033,908,93348-260,Rua Irmão Norberto,Rincão,Novo Hamburgo,RS,algemira.barrada@geradornv.com.br,5l+9eQ(IOq0@,(53) 97973-3059,(51) 2865-4406
Algemira Ignacia Barrada,06/03/1938,353.272.280-10,34.277.221-1,286 0623 2197 0006,2758 3441 0477,83838021317,E,QS665082,44164544480,442.67123.53-3,O+,Lenir Vaz Rezende,Emanoel Caruso Spilman,5260 5756 1200 5236,08/08/2025,970,69017-075,Rua Padre Luís Ruas,Nova Cidade,Manaus,AM,henry.spilman@geradornv.com.br,caS03l+)9%N_,(92) 98584-7084,(92) 3881-2916
Henry Rezende Spilman,17/11/1936,342.846.182-70,12.522.017-0,225 4958 2646 0002,3676 0583 2208,62836505504,C,IA393562,55374923890,856.84837.65-9,A+,Lenir Vaz Rezende,Emanoel Caruso Spilman,5260 5756 1200 5236,25/01/2027,151,77020-148,Quadra 110 Sul Alameda 9,Plano Diretor Sul,Palmas,TO,jouceli.tolentino@geradornv.com.br,$BeIgDS0!Od=,(63) 98887-9107,(63) 2812-2427
Jouceli Oliveira Tolentino,13/10/2001,633.861.481-31,44.844.371-5,183 0806 0851 0008,6271 9548 2720,41784825330,E,D530978,37026228873,513.26578.91-3,B-,Rosani Medeiros Oliveira,Leonardo Zanetti Zago,4389 3502 5421 9753,05/05/2029,089,57084-412,Rua Em Projeto B,Benedito Bentes,Maceió,AL,andrey.zago@geradornv.com.br,MM7tWX44h2OS,(82) 98753-1180,(82) 3836-4637
Andrey Salomão Zago,27/11/1936,327.818.614-13,29.898.354-0,928 5063 4431 0009,7410 2490 1708,19457167780,ACC,JO319328,81284367636,284.78162.62-6,O-,Francielle Aguiar Salomão,Mateus Silva Pimenta,5327 0084 7036 3035,04/12/2028,835,59628-160,Rua Joaquim Felício de Moura,Alto de São Manoel,Mossoró,RN,algemira.pimenta@geradornv.com.br,ldZ9+J5kmZ%,(84) 99817-2928,(84) 2937-2804
Algemira Saldanha Pimenta,10/08/1951,664.541.174-05,12.172.347-1,774 1974 8396 0008,6437 5113 1600,38728371952,B,SG593437,36355374766,189.62121.56-0,AB+,Vanderlina Barrada Laporte,Benedito Santana Sodre,6222 6832 2843 4546,20/01/2030,466,04890-480,Rua Orestes de Souza Figueiredo,Jardim Novo Parelheiros,São Paulo,SP,leonardo.sodre@geradornv.com.br,U4tZEHfr1NC2,(16) 98578-7743,(16) 2334-2364
Leonardo Laporte Sodre,11/08/1979,489.558.188-82,16.680.715-1,211 3934 3559 0004,3151 9166 0108,81365420852,D,AG382261,72864539565,834.18890.56-3,B+,Nilza Castilho Alves,Pedro Henriquez Pina,6553 6258 5791 8637,16/08/2030,695,59020-255,Avenida Rodrigues Alves,Tirol,Natal,RN,quezia.pina@geradornv.com.br,9Z8@o9g!ao4n,(84) 98672-0533,(84) 2650-1918
Quezia Alves Pina,14/12/2012,162.316.674-80,11.337.852-X,862 9013 5113 0008,3357 1168 1651,45530659549,E,KA310565,53868466817,265.82484.53-0,AB-,Nilza Castilho Alves,Silvio Macedo Cretella,5041 7582 4253 7788,07/05/2030,146,57550-000,ﾠ,ﾠ,Olivença,AL,ana.cretella@geradornv.com.br,I07pV5tmNk2L,(82) 97292-1754,(82) 2183-7758
Ana Carolina Vargas Cretella,28/05/1963,561.599.194-15,21.834.723-6,142 3171 9763 0001,5656 4163 1783,28125955882,C,FV713966,30741175110,827.66814.17-8,A+,Rosimere Melo Vargas,Erick Peixoto Caruso,6363 6864 3515 5068,14/03/2024,094,59617-602,Rua Antônio Holanda Sobrinho,Abolição,Mossoró,RN,anthony.caruso@geradornv.com.br,DNhAZw3XG+66,(84) 96773-6347,(84) 2856-7774
Anthony Limeira Caruso,13/06/2013,010.474.834-67,43.814.504-5,291 6274 7713 0000,8656 5225 1627,25252759520,D,NK722067,82876636169,762.42687.25-3,AB-,Dora Falcão Limeira,Erick Peixoto Caruso,6363 6864 3515 5068,02/11/2031,027,69911-099,Estrada da Sobral,Aeroporto Velho,Rio Branco,AC,giselle.dinis@geradornv.com.br,Wa_k*(46&!sU,(68) 97457-4024,(68) 3211-6786
Giselle Gonçalves Dinis,14/05/2013,274.592.492-38,32.336.037-3,137 2670 4828 0003,7415 8356 2496,14484325002,ACC,HJ272715,86629225912,558.55571.03-6,O-,Cristiane Boelho Gonçalves,Lucas Felipe Ubaldo Dinis,5424 7892 9361 5808,11/02/2030,224,78551-180,Avenida Rute de Souza Silva,Loteamento Florais da Amazônia,Sinop,MT,jose.paiva@geradornv.com.br,z*Trd!*1R(oq,(66) 96982-6421,(66) 2448-0177
José Debossam Paiva,01/07/2014,344.185.941-32,25.986.185-6,908 2025 8497 0008,3676 6352 1805,22078753777,C,UN236369,55115381772,478.62381.45-9,A+,Hevelyn Abreu Debossam,Erick Ribeiro Paiva,5338 2185 8178 3388,18/06/2024,076,69317-176,Rua Antônio Coutrim da Silva,Santa Luzia,Boa Vista,RR,sebastiao.tavares@geradornv.com.br,$j2FpqMpCzcf,(95) 98187-4354,(95) 3661-7316
Sebastião Regufe Tavares,02/06/1992,396.726.482-35,21.097.885-5,958 8979 2980 0018,8364 8735 2640,36772648968,E,NJ281404,13443324400,216.12618.38-5,B+,Elenice Limeira Regufe,Gutemberg Bueno Tavares,6363 6892 2534 6715,29/11/2028,156,88807-631,Rua Benevenuto Guidi,Sangão,Criciúma,SC,leandro.navega@geradornv.com.br,LKGWrDzg$C6B,(49) 99386-0251,(48) 2466-0768
Leandro Stutz Navega,16/08/1954,075.433.469-40,35.262.781-5,119 2504 7557 0001,9748 5365 0981,11740251822,D,CU847089,23422412286,580.42244.31-7,O+,Valeska Paes Stutz,Abner Quindeler Brum,5482 6923 2768 5574,06/05/2032,841,76871-012,Avenida Candeias,Jardim América,Ariquemes,RO,carlos.brum@geradornv.com.br,7rtgGQHJsJjn,(69) 99376-2449,(69) 3400-0143
